host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,property_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
2678.0,,,0.0,1.0,1.0,0.0,47.63858056073184,-122.3753257408229,1,Apartment,3,1.0,1.0,1.0,,20.0,,,1,0.0,1,1125,1,18,46,76,351,0,,,,,,,,,,0,0,flexible,0,0,1,
4264.0,1.0,1.0,0.0,1.0,1.0,1.0,47.63788372174487,-122.3673710937777,1,Townhouse,2,1.5,1.0,1.0,,150.0,500.0,50.0,2,30.0,4,1125,1,0,0,0,212,0,,,,,,,,,,0,0,strict,0,0,1,
3052.0,1.0,1.0,0.0,1.0,1.0,1.0,47.63751734544927,-122.36081167446434,1,Apartment,2,1.0,1.0,1.0,,145.0,100.0,30.0,2,10.0,2,1125,1,15,39,69,331,44,2909.0,2679.0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,moderate,0,0,1,5.64
3284.0,0.7,1.0,0.0,1.0,1.0,1.0,47.63687417802139,-122.37227171191188,1,Townhouse,2,1.0,1.0,1.0,,80.0,,,1,0.0,1,1125,1,30,60,90,364,10,2795.0,2712.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,flexible,0,0,1,2.5
3367.0,1.0,1.0,1.0,3.0,1.0,1.0,47.632562742655686,-122.36722284674144,1,House,2,1.0,0.0,1.0,,95.0,200.0,60.0,1,0.0,3,1125,1,18,32,50,321,77,3236.0,2683.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,moderate,0,0,1,4.12
3094.0,,,0.0,1.0,1.0,0.0,47.63532192210432,-122.36612114800724,1,House,4,2.5,3.0,3.0,,400.0,750.0,120.0,4,20.0,2,1125,1,30,60,90,365,0,,,,,,,,,,0,0,moderate,0,0,1,
4381.0,1.0,1.0,0.0,1.0,1.0,1.0,47.63263390932941,-122.36931844777416,1,House,2,2.0,1.0,1.0,,85.0,,,1,0.0,2,1125,1,0,0,0,247,2,2721.0,2699.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,moderate,0,0,1,1.3
3887.0,,,0.0,2.0,1.0,1.0,47.63260003819552,-122.36995243412568,1,Apartment,2,1.0,1.0,1.0,,70.0,,20.0,1,0.0,1,1125,1,0,0,0,103,1,2794.0,2794.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,flexible,0,0,2,0.25
3837.0,1.0,1.0,1.0,5.0,1.0,1.0,47.64105215050513,-122.37508173306394,1,Apartment,2,1.0,0.0,1.0,,90.0,150.0,25.0,1,0.0,2,14,1,18,45,45,103,109,3299.0,2682.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,strict,1,1,5,5.24
2909.0,1.0,1.0,0.0,1.0,1.0,0.0,47.63140094589966,-122.3676901333062,1,House,2,1.0,1.0,1.0,,80.0,,,2,15.0,1,6,1,29,59,89,345,52,2896.0,2678.0,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0,flexible,0,0,1,7.06
3837.0,1.0,1.0,1.0,5.0,1.0,1.0,47.64152492560981,-122.3761503724508,1,Camper/RV,2,1.0,1.0,2.0,,60.0,150.0,25.0,2,0.0,2,7,1,19,44,44,102,191,3831.0,2679.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,strict,1,1,5,4.96
2753.0,0.67,1.0,0.0,1.0,1.0,0.0,47.635310702971786,-122.36350557505072,1,House,4,1.0,2.0,2.0,,175.0,250.0,78.0,4,50.0,1,15,1,30,48,48,48,0,,,,,,,,,,0,0,moderate,0,0,1,
3954.0,1.0,1.0,0.0,1.0,1.0,1.0,47.66932717471968,-122.39259356469373,0,House,6,2.5,3.0,4.0,,170.0,250.0,100.0,6,100.0,4,1125,1,23,25,25,27,9,2823.0,2712.0,91.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0,strict,0,0,1,1.82
3212.0,1.0,1.0,0.0,1.0,1.0,1.0,47.67407415557543,-122.3938640503292,1,Apartment,2,1.0,1.0,1.0,,85.0,,50.0,2,20.0,3,1125,1,20,45,75,347,65,3170.0,2697.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,moderate,0,0,1,3.94
2982.0,1.0,1.0,1.0,4.0,1.0,1.0,47.67362807262794,-122.38930195133072,1,House,12,3.5,5.0,7.0,,465.0,1000.0,250.0,1,0.0,3,1125,1,3,26,46,175,5,2784.0,2695.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,strict,0,0,1,1.38
3712.0,1.0,1.0,0.0,1.0,1.0,1.0,47.6684599605579,-122.37951599522182,1,Apartment,2,1.0,1.0,1.0,,175.0,250.0,50.0,1,0.0,1,1125,1,0,0,0,94,5,2823.0,2710.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,flexible,0,0,1,1.01
2930.0,1.0,,0.0,1.0,1.0,0.0,47.670662322939705,-122.37866592236747,0,Condominium,2,1.0,1.0,1.0,,50.0,,,0,0.0,1,1125,1,20,50,80,355,0,,,,,,,,,,0,0,flexible,0,0,1,
2868.0,,,0.0,1.0,1.0,0.0,47.67264618041156,-122.3893330272264,1,Apartment,2,1.0,1.0,1.0,,60.0,,,1,0.0,1,1125,1,0,0,0,166,0,,,,,,,,,,0,0,flexible,0,0,1,
4125.0,1.0,1.0,0.0,1.0,1.0,1.0,47.67317538409765,-122.38225959936204,1,House,2,1.0,1.0,1.0,,59.0,,12.0,1,0.0,1,1125,1,25,55,85,360,16,2821.0,2691.0,93.0,9.0,10.0,10.0,10.0,10.0,10.0,0,0,flexible,0,0,1,3.29
4306.0,0.9,1.0,0.0,1.0,1.0,1.0,47.66793300136605,-122.3786524676208,1,Apartment,4,1.0,1.0,4.0,,47.0,200.0,15.0,2,10.0,1,1125,1,30,60,89,89,23,2900.0,2764.0,77.0,8.0,8.0,9.0,9.0,9.0,8.0,0,0,strict,0,1,1,3.07
3647.0,1.0,1.0,0.0,1.0,1.0,1.0,47.67296864487422,-122.39733818247204,1,House,4,1.0,2.0,2.0,,145.0,100.0,45.0,4,30.0,2,14,1,29,59,88,88,45,3611.0,2781.0,97.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0,moderate,1,1,1,1.44
4206.0,1.0,1.0,0.0,1.0,1.0,1.0,47.66862741947888,-122.3894959253679,1,House,2,1.0,1.0,1.0,,70.0,,,1,0.0,1,1125,1,10,38,68,343,75,3325.0,2691.0,94.0,10.0,9.0,10.0,10.0,10.0,10.0,0,0,flexible,0,0,1,3.46
3277.0,1.0,1.0,0.0,1.0,1.0,1.0,47.67011138347177,-122.39386928567664,1,House,2,1.0,1.0,1.0,,55.0,100.0,25.0,1,10.0,2,1125,1,15,43,73,348,86,3257.0,2679.0,94.0,9.0,10.0,10.0,10.0,10.0,10.0,0,0,moderate,0,0,1,4.43
3881.0,1.0,1.0,1.0,1.0,1.0,1.0,47.671690500882136,-122.38523906517403,1,House,4,1.0,1.0,2.0,,95.0,,30.0,2,35.0,2,90,1,7,22,52,327,151,3852.0,2693.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,moderate,0,0,1,3.85
3159.0,1.0,1.0,0.0,1.0,1.0,1.0,47.67083617832085,-122.39253711071063,1,House,2,1.0,1.0,1.0,,125.0,,,1,0.0,1,1125,1,26,49,79,345,6,3146.0,2896.0,92.0,10.0,10.0,10.0,10.0,10.0,8.0,0,1,flexible,0,0,1,0.38
